"জেলা","নির্বাচনী আসন","কেন্দ্র নং","ভোটকেন্দ্রের নাম","বৈধ ভোট","বাতিল ভোট","অনুপস্থিত ভোটার","মোট ভোটার","ফাইল"
"শেরপুর","শেরপুর-৩","৬৫","ঘোনাপাড়া সরকারি প্রাথমিক বিদ্যালয়, ঘোনাপাড়াগ্রাম: ঘোনাপাড়া, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","২৪৬৭","২১","২৩৪৪","৪৮৩২","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৬৪","চাউলিয়া সরকারি প্রাথমিক বিদ্যালয়, চাউলিয়াগ্রাম- চাউলিয়া, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১৫৩৫","১১","২০৪৩","৩৫৮৯","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৬৩","গড়জরিপা সরকারী প্রাথমিক বিদ্যালয়, গড়জরিপাগ্রাম- গড়জরিপা, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১৭২৯","১০","১৫৮৭","৩৩২৬","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৬২","গোপালখিলা সরকারি প্রাথমিক বিদ্যালয়, গোপালখিলাগ্রাম- গোপালখিলা, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১০৪১","৮","১৫০৫","২৫৫৪","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৪৮","রূপারপাড়া সরকারী প্রাথমিক বিদ্যালয়, রূপারপাড়াগ্রাম- রূপারপাড়া, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","৪০২১","১","৬৫৪","৪৬৭৬","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৬১","গোপালখিলা উচ্চ বিদ্যালয়, গোপালখিলাগ্রাম: গোপালখিলা, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১১০৪","৯","১৪১৫","২৫২৮","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৫৪","কুরুয়া সিনিয়র ইসলামিয়া আলিম মাদ্রাসা, কুরুয়াগ্রাম- কুরুয়া, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","২২৫৬","১৭","১৬২০","৩৮৯৩","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৫৫","কুরুয়া উচ্চ বিদ্যালয়, কুরুয়াগ্রাম: কুরুয়া, ডাকঘর- কুরুয়া, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১৪৮১","১২","২২৭১","৩৭৬৪","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৫৬","কুড়িকাহনিয়া সরকারী প্রাথমিক বিদ্যালয়, কুড়িকাহনিয়াগ্রাম- কুড়িকাহনিয়া, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১১৯০","৮","১২৬৪","২৪৬২","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৪৯","মাদারপুর সরকারী প্রাথমিক বিদ্যালয়, মাদারপুরগ্রাম- মাদারপুর, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১৬২৮","৩","১০৬০","২৬৯১","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৫৭","কুড়িকাহনিয়া সাউথ কুরুয়া উচ্চ বিদ্যালয়, কুড়িকাহনিয়াগ্রাম: কড়িকাহনীয়া, ডাকঘর- কুড়িকাহনীয়া, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১০৪৪","১০","১৪১২","২৪৬৬","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৫৮","ইন্দিলপুর আব্দুল মজিদ উচ্চ বিদ্যালয়, ইন্দিলপুরগ্রাম: ইন্দিলপুর, ডাকঘর- পূর্ব ঝিনিয়া, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","২০৭৮","১১৩","১৬১০","৩৮০১","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৫৯","চিথলিয়া সরকারী প্রাথমিক বিদ্যালয়, চিথলিয়াগ্রাম- চিথলিয়া, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","২৮৫৩","৩০","১৫৮৮","৪৪৭১","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৬০","পশ্চিম ঝিনিয়া সরকারী প্রাথমিক বিদ্যালয়, পশ্চিম ঝিনিয়াগ্রাম- পশ্চিম ঝিনিয়া, পো:- ঝিনিয়া বাজার, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","১২১২","১৫","৬১৮","১৮৪৫","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৫০","খড়িয়াকাজিরচর সরকারী প্রাথমিক বিদ্যালয়, খড়িয়াকাজিরচরগ্রাম- খড়িয়া কাজিরচর, উপজেলা- শ্রীবরদী, জেলা- শেরপুর","২২৬১","১১","১১৭৭","৩৪৪৯","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৫৩","লংগরপাড়া সরকারী প্রাথমিক বিদ্যালয়, লংগরপাড়াগ্রাম: লংগরপাড়া, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","২৪০৩","৩২","১৭১৩","৪১৪৮","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৫২","লংগরপাড়া উচ্চ বিদ্যালয়, লংগরপাড়াগ্রাম- লংগরপাড়া, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","২৬৬৮","৫","১৪৮৩","৪১৫৬","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৫১","পোড়াগড় সরকারী প্রাথমিক বিদ্যালয়, পোড়াগড়।গ্রাম- পোড়াগড়, ডাকঘর- লংগরপাড়া উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","২৮৪৭","০","১২০৫","৪০৫২","ডাউনলোড"
"শেরপুর","শেরপুর-৩","৩৪","ভারেরা ছমির উদ্দিন স্কুল এন্ড কলেজ, ভারেরাগ্রাম- ভারেরা, উপজেলা- শ্রীবরদী, জেলা- শেরপুর।","২৮৬১","৩","১৫৩২","৪৩৯৬","ডাউনলোড"
